Level,Object Index,Type,X Macro,X Micro,Y Macro,Y Micro,Flags,Params,Tiles Normal,Tiles Reversed
THZ1,47,09,00,09,4C,03,00,01,00,00
THZ1,48,09,20,09,4C,03,00,01,00,00
THZ1,49,09,60,0A,AC,03,00,01,00,00
THZ1,50,09,D0,0A,AC,03,00,01,00,00
THZ1,51,09,50,0B,AC,03,00,01,00,00
THZ1,52,18,78,10,2E,03,00,00,00,00
THZ1,53,FF,28,28,03,D0,03,00,0A,6A
THZ2,0,28,28,03,D0,03,00,0A,6A,19
THZ2,1,28,58,0F,60,03,00,0A,6A,13
THZ2,2,28,10,07,30,02,00,84,6A,00
THZ2,3,26,60,04,80,04,00,00,72,72
THZ2,4,26,C0,04,80,04,00,00,72,72
THZ2,5,26,20,05,80,04,00,00,72,72
THZ2,6,26,10,09,20,03,00,00,72,72
THZ2,7,26,80,0D,80,04,00,00,72,72
THZ2,8,26,E0,0D,80,04,00,00,72,72
THZ2,9,26,40,0E,80,04,00,00,72,72
THZ2,10,26,F0,0E,80,04,00,00,72,72
THZ2,11,10,40,05,CE,01,00,06,00,00
THZ2,12,10,50,02,2E,02,00,03,00,00
THZ2,13,10,E0,0B,0E,02,00,03,00,00
THZ2,14,10,F0,0A,CE,02,00,04,00,00
THZ2,15,10,40,01,CE,03,00,02,00,00
THZ2,16,09,54,09,E4,01,00,00,00,00
THZ2,17,09,78,09,CA,01,00,00,00,00
THZ2,18,09,A8,09,C0,01,00,00,00,00
THZ2,19,09,D4,0A,04,02,00,00,00,00
THZ2,20,09,F8,0A,EA,01,00,00,00,00
THZ2,21,09,28,0B,E0,01,00,00,00,00
THZ2,22,09,34,0C,04,02,00,00,00,00
THZ2,23,09,58,0C,EA,01,00,00,00,00
THZ2,24,09,88,0C,E0,01,00,00,00,00
THZ2,25,26,E0,06,80,04,00,88,72,72
THZ2,26,26,90,0E,20,02,00,01,72,72
THZ2,27,27,B0,0E,80,03,10,00,AA,AA
THZ2,28,27,20,0E,C0,01,10,00,AA,AA
THZ2,29,27,A0,08,A0,01,10,00,AA,AA
THZ2,30,27,80,05,80,03,10,00,AA,AA
THZ2,31,21,30,04,0E,02,00,04,86,98
THZ2,32,21,00,06,6E,04,00,04,86,98
THZ2,33,21,40,08,0E,03,00,03,86,98
THZ2,34,21,E0,08,4E,04,00,04,86,98
THZ2,35,21,10,0A,AE,02,00,03,86,98
THZ2,36,09,80,0D,EC,02,00,01,00,00
THZ2,37,09,F0,0D,EC,02,00,01,00,00
THZ2,38,09,70,0E,EC,02,00,01,00,00
THZ2,39,09,E0,0E,EC,02,00,01,00,00
THZ2,40,18,78,10,8E,03,00,00,00,00
THZ2,41,FF,50,90,08,EE,01,00,00,00
THZ3,0,50,90,08,EE,01,00,00,00,00
THZ3,1,26,90,03,80,02,00,00,72,72
THZ3,2,26,D0,03,80,02,00,00,72,72
THZ3,3,26,10,04,80,02,00,00,72,72
THZ3,4,26,B0,06,80,02,00,00,72,72
THZ3,5,10,B0,06,6E,02,00,01,00,00
THZ3,6,1B,F0,03,80,01,00,00,00,00
THZ3,7,09,B4,04,64,01,00,00,00,00
THZ3,8,09,D8,04,4A,01,00,00,00,00
THZ3,9,09,08,05,40,01,00,00,00,00
THZ3,10,FF,28,70,07,40,02,00,89,6A
GPZ1,0,28,70,07,40,02,00,89,6A,0E
GPZ1,1,28,50,0C,C0,02,00,89,6A,0C
GPZ1,2,26,70,09,20,03,00,00,72,72
GPZ1,3,26,70,0A,60,02,00,00,72,72
GPZ1,4,26,70,0D,C0,02,00,00,72,72
GPZ1,5,10,30,04,CE,02,00,06,00,00
GPZ1,6,10,00,0B,8E,01,00,06,00,00
GPZ1,7,10,70,05,CE,01,00,03,00,00
GPZ1,8,10,30,10,EE,02,00,02,00,00
GPZ1,9,09,20,09,80,01,00,00,00,00
GPZ1,10,09,F0,08,C0,01,00,00,00,00
GPZ1,11,09,F8,08,98,01,00,00,00,00
GPZ1,12,09,50,09,C0,01,00,00,00,00
GPZ1,13,09,48,09,98,01,00,00,00,00
GPZ1,14,26,10,11,C0,01,00,87,72,72
GPZ1,15,26,F0,09,60,03,00,86,72,72
GPZ1,16,25,50,04,4E,02,00,09,96,A8
GPZ1,17,25,A0,04,6E,04,00,0A,96,A8
GPZ1,18,25,B0,05,CE,02,00,0B,96,A8
GPZ1,19,25,30,0B,2E,03,00,0B,96,A8
GPZ1,20,25,F0,0F,2E,02,00,07,96,A8
GPZ1,21,2C,10,0F,60,01,00,00,8C,8C
GPZ1,22,2C,40,0A,00,02,00,00,8C,8C
GPZ1,23,2C,20,07,20,03,00,00,8C,8C
GPZ1,24,2C,20,07,80,02,00,00,8C,8C
GPZ1,25,09,F0,01,64,02,00,00,00,00
GPZ1,26,09,00,02,64,02,00,00,00,00
GPZ1,27,09,10,02,64,02,00,00,00,00
GPZ1,28,09,70,04,20,02,00,01,00,00
GPZ1,29,09,90,04,20,02,00,01,00,00
GPZ1,30,09,30,05,20,02,00,01,00,00
GPZ1,31,09,50,05,20,02,00,01,00,00
GPZ1,32,09,F0,05,20,02,00,01,00,00
GPZ1,33,09,10,06,20,02,00,01,00,00
GPZ1,34,09,B0,06,20,02,00,01,00,00
GPZ1,35,09,D0,06,20,02,00,01,00,00
GPZ1,36,09,50,07,40,03,00,01,00,00
GPZ1,37,09,70,07,40,03,00,01,00,00
GPZ1,38,09,10,08,40,03,00,01,00,00
GPZ1,39,09,30,08,40,03,00,01,00,00
GPZ1,40,09,90,0B,60,03,00,01,00,00
GPZ1,41,09,B0,0B,60,03,00,01,00,00
GPZ1,42,09,50,0C,60,03,00,01,00,00
GPZ1,43,09,70,0C,60,03,00,01,00,00
GPZ1,44,09,D0,0D,40,03,00,01,00,00
GPZ1,45,09,F0,0D,40,03,00,01,00,00
GPZ1,46,09,90,0E,40,03,00,01,00,00
GPZ1,47,09,B0,0E,40,03,00,01,00,00
GPZ1,48,09,B0,0F,60,03,00,01,00,00
GPZ1,49,09,D0,0F,60,03,00,01,00,00
GPZ1,50,09,70,10,60,03,00,01,00,00
GPZ1,51,09,90,10,60,03,00,01,00,00
GPZ1,52,09,70,09,40,01,00,01,00,00
GPZ1,53,09,90,09,40,01,00,01,00,00
GPZ1,54,09,30,0A,40,01,00,01,00,00
GPZ1,55,09,50,0A,40,01,00,01,00,00
GPZ1,56,09,F0,0A,40,01,00,01,00,00
GPZ1,57,09,10,0B,40,01,00,01,00,00
GPZ1,58,09,B0,0B,40,01,00,01,00,00
GPZ1,59,09,D0,0B,40,01,00,01,00,00
GPZ1,60,18,80,14,AE,02,00,00,00,00
GPZ1,61,FF,28,60,07,20,04,00,05,6A
GPZ2,0,28,60,07,20,04,00,05,6A,18
GPZ2,1,28,30,07,80,02,00,83,6A,0B
GPZ2,2,28,D0,0A,80,03,00,0A,6A,0B
GPZ2,3,26,B0,01,80,04,00,00,72,72
GPZ2,4,26,70,04,80,04,00,00,72,72
GPZ2,5,26,C0,05,E0,02,00,00,72,72
GPZ2,6,26,F0,08,20,02,00,00,72,72
GPZ2,7,26,50,09,60,04,00,00,72,72
GPZ2,8,26,70,0E,80,04,00,00,72,72
GPZ2,9,26,70,0B,C0,03,00,01,72,72
GPZ2,10,10,10,0E,CE,01,00,01,00,00
GPZ2,11,10,90,0E,6E,04,00,01,00,00
GPZ2,12,10,10,06,6E,04,00,06,00,00
GPZ2,13,10,90,06,6E,02,00,06,00,00
GPZ2,14,10,B0,01,6E,04,00,03,00,00
GPZ2,15,10,C0,03,6E,01,00,03,00,00
GPZ2,16,10,C0,03,EE,01,00,03,00,00
GPZ2,17,10,30,08,6E,03,00,03,00,00
GPZ2,18,10,F0,09,AE,02,00,04,00,00
GPZ2,19,10,30,01,6E,01,00,02,00,00
GPZ2,20,1B,D0,01,A0,03,00,00,00,00
GPZ2,21,25,50,01,EE,01,00,04,96,A8
GPZ2,22,25,70,03,8E,04,00,0A,96,A8
GPZ2,23,25,90,07,6E,04,00,08,96,A8
GPZ2,24,25,30,0A,0E,02,00,07,96,A8
GPZ2,25,25,90,0C,6E,03,00,0B,96,A8
GPZ2,26,25,D0,0D,CE,03,00,0A,96,A8
GPZ2,27,25,50,0E,4E,02,00,08,96,A8
GPZ2,28,2C,50,03,70,02,00,00,8C,8C
GPZ2,29,2C,D0,0B,E0,01,00,00,8C,8C
GPZ2,30,2C,90,0D,20,02,00,00,8C,8C
GPZ2,31,09,C0,05,00,03,00,00,00,00
GPZ2,32,09,90,05,40,03,00,00,00,00
GPZ2,33,09,98,05,18,03,00,00,00,00
GPZ2,34,09,F0,05,40,03,00,00,00,00
GPZ2,35,09,E8,05,18,03,00,00,00,00
GPZ2,36,09,60,08,60,01,00,00,00,00
GPZ2,37,09,30,08,A0,01,00,00,00,00
GPZ2,38,09,38,08,78,01,00,00,00,00
GPZ2,39,09,90,08,A0,01,00,00,00,00
GPZ2,40,09,88,08,78,01,00,00,00,00
GPZ2,41,09,70,01,E0,01,00,01,00,00
GPZ2,42,09,90,01,E0,01,00,01,00,00
GPZ2,43,09,30,02,E0,01,00,01,00,00
GPZ2,44,09,50,02,E0,01,00,01,00,00
GPZ2,45,09,F0,02,E0,01,00,01,00,00
GPZ2,46,09,10,03,E0,01,00,01,00,00
GPZ2,47,09,10,04,E0,01,00,01,00,00
GPZ2,48,09,30,04,E0,01,00,01,00,00
GPZ2,49,09,D0,04,E0,01,00,01,00,00
GPZ2,50,09,F0,04,E0,01,00,01,00,00
GPZ2,51,09,90,05,E0,01,00,01,00,00
GPZ2,52,09,B0,05,E0,01,00,01,00,00
GPZ2,53,09,50,06,E0,01,00,01,00,00
GPZ2,54,09,70,06,E0,01,00,01,00,00
GPZ2,55,09,10,07,E0,01,00,01,00,00
GPZ2,56,09,30,07,E0,01,00,01,00,00
GPZ2,57,09,B0,0A,20,02,00,01,00,00
GPZ2,58,09,D0,0A,20,02,00,01,00,00
GPZ2,59,09,70,0B,20,02,00,01,00,00
GPZ2,60,09,90,0B,20,02,00,01,00,00
GPZ2,61,18,80,10,AE,03,00,00,00,00
GPZ2,62,FF,10,30,01,6E,02,00,01,00
GPZ3,0,10,30,01,6E,02,00,01,00,00
GPZ3,1,10,00,04,0E,01,00,06,00,00
GPZ3,2,09,00,04,40,01,00,00,00,00
GPZ3,3,09,D0,03,80,01,00,00,00,00
GPZ3,4,09,D8,03,58,01,00,00,00,00
GPZ3,5,09,30,04,80,01,00,00,00,00
GPZ3,6,09,28,04,58,01,00,00,00,00
GPZ3,7,51,C0,07,0E,02,00,00,00,00
GPZ3,8,FF,28,10,04,80,02,00,83,6A
SEZ1,0,28,10,04,80,02,00,83,6A,6A
SEZ1,1,28,F0,05,40,02,00,04,6A,6A
SEZ1,2,28,70,08,80,04,00,83,6A,6A
SEZ1,3,28,30,07,80,01,00,86,6A,18
SEZ1,4,28,50,09,40,03,00,86,6A,30
SEZ1,5,26,50,02,E0,03,00,8C,72,00
SEZ1,6,26,40,05,20,03,00,88,72,00
SEZ1,7,26,70,02,00,02,00,00,72,72
SEZ1,8,26,E0,07,80,04,00,00,72,72
SEZ1,9,26,F0,0E,60,04,00,00,72,72
SEZ1,10,10,B0,0E,CE,01,00,01,00,00
SEZ1,11,10,F0,0E,6E,02,00,01,00,00
SEZ1,12,10,70,02,EE,01,00,02,00,00
SEZ1,13,10,90,09,6E,04,00,04,00,00
SEZ1,14,10,C0,0B,8E,03,00,06,00,00
SEZ1,15,10,90,0E,6E,04,00,06,00,00
SEZ1,16,2F,E0,01,8E,02,00,00,94,94
SEZ1,17,2F,10,04,0E,04,00,00,94,94
SEZ1,18,2F,F0,05,2E,02,00,00,94,94
SEZ1,19,2F,90,08,AE,03,00,00,94,94
SEZ1,20,2F,50,0A,EE,03,00,00,94,94
SEZ1,21,2F,E0,0A,CE,03,00,00,94,94
SEZ1,22,2F,80,0C,2E,03,00,00,94,94
SEZ1,23,2F,50,0D,6E,04,00,00,94,94
SEZ1,24,26,80,05,60,04,00,01,72,72
SEZ1,25,26,20,06,20,04,00,01,72,72
SEZ1,26,26,C0,06,60,04,00,01,72,72
SEZ1,27,26,60,07,80,04,00,01,72,72
SEZ1,28,1B,70,06,E0,02,00,00,00,00
SEZ1,29,1B,D0,09,A0,01,00,00,00,00
SEZ1,30,20,D0,05,8E,01,00,01,A4,A4
SEZ1,31,20,70,09,EE,03,00,00,A4,A4
SEZ1,32,20,30,0C,2E,04,00,00,A4,A4
SEZ1,33,20,10,0D,6E,01,00,00,A4,A4
SEZ1,34,23,E0,07,AE,02,00,00,86,86
SEZ1,35,23,40,09,AE,02,00,00,86,86
SEZ1,36,23,10,0B,8E,01,00,00,86,86
SEZ1,37,23,F0,0B,AE,02,00,00,86,86
SEZ1,38,18,78,10,2E,03,00,00,00,00
SEZ1,39,FF,28,D0,06,40,02,00,84,6A
SEZ2,0,28,D0,06,40,02,00,84,6A,6A
SEZ2,1,28,F0,07,C0,04,00,86,6A,1C
SEZ2,2,26,00,02,C0,03,00,00,72,72
SEZ2,3,26,30,04,00,03,00,00,72,72
SEZ2,4,26,D0,05,A0,04,00,00,72,72
SEZ2,5,26,D0,06,40,02,00,00,72,72
SEZ2,6,26,30,09,60,02,00,00,72,72
SEZ2,7,26,F0,08,80,03,00,00,72,72
SEZ2,8,26,90,0E,20,04,00,00,72,72
SEZ2,9,10,B0,05,8E,04,00,01,00,00
SEZ2,10,10,B0,03,0E,04,00,02,00,00
SEZ2,11,10,30,07,AE,04,00,04,00,00
SEZ2,12,10,50,01,8E,02,00,06,00,00
SEZ2,13,10,D0,0A,0E,04,00,06,00,00
SEZ2,14,2F,B0,02,4E,04,00,00,94,94
SEZ2,15,2F,60,03,CE,03,00,00,94,94
SEZ2,16,2F,50,04,6E,04,00,00,94,94
SEZ2,17,2F,B0,0D,4E,04,00,00,94,94
SEZ2,18,26,20,03,C0,01,00,01,72,72
SEZ2,19,26,F0,03,80,02,00,01,72,72
SEZ2,20,26,30,05,00,02,00,01,72,72
SEZ2,21,26,90,05,00,02,00,01,72,72
SEZ2,22,26,F0,05,00,02,00,01,72,72
SEZ2,23,1B,B0,02,20,02,00,00,00,00
SEZ2,24,1B,D0,0B,A0,04,00,00,00,00
SEZ2,25,20,50,07,4E,01,00,01,A4,A4
SEZ2,26,20,30,0B,8E,04,00,00,A4,A4
SEZ2,27,20,30,0D,4E,01,00,00,A4,A4
SEZ2,28,23,90,09,EE,03,00,00,86,86
SEZ2,29,23,D0,09,EE,02,00,00,86,86
SEZ2,30,23,90,0B,CE,01,00,00,86,86
SEZ2,31,23,90,0B,AE,02,00,00,86,86
SEZ2,32,18,78,10,8E,02,00,00,00,00
SEZ2,33,FF,23,70,07,EE,01,00,00,86
SEZ3,0,23,70,07,EE,01,00,00,86,86
SEZ3,1,26,F0,07,80,04,00,00,72,72
SEZ3,2,2F,B0,01,2E,04,00,00,94,94
SEZ3,3,10,D0,06,6E,04,00,02,00,00
SEZ3,4,10,70,08,0E,04,00,06,00,00
SEZ3,5,10,50,0A,CE,03,00,01,00,00
SEZ3,6,54,80,0D,6E,03,00,00,00,00
SEZ3,7,FF,28,F0,03,E0,03,00,83,6A
MGHZ1,0,28,F0,03,E0,03,00,83,6A,6A
MGHZ1,1,28,90,04,00,04,00,83,6A,6A
MGHZ1,2,28,30,05,20,04,00,83,6A,6A
MGHZ1,3,28,D0,05,20,04,00,83,6A,6A
MGHZ1,4,28,B0,08,00,04,00,83,6A,6A
MGHZ1,5,28,10,09,E0,03,00,83,6A,6A
MGHZ1,6,28,70,09,E0,03,00,83,6A,6A
MGHZ1,7,28,50,06,EE,03,00,89,6A,12
MGHZ1,8,28,70,05,F0,01,00,05,6A,07
MGHZ1,9,28,D0,0B,9E,02,00,05,6A,0C
MGHZ1,10,28,90,0C,3E,04,00,05,6A,1C
MGHZ1,11,2F,10,07,EE,01,00,00,AC,AC
MGHZ1,12,10,20,06,6E,01,00,04,00,00
MGHZ1,13,10,A0,0A,2E,04,00,06,00,00
MGHZ1,14,10,D0,01,AE,03,00,02,00,00
MGHZ1,15,10,F4,0E,2E,04,00,01,00,00
MGHZ1,16,1B,B0,08,E0,01,00,00,00,00
MGHZ1,17,1B,90,0B,E0,03,00,00,00,00
MGHZ1,18,1B,90,0D,60,02,00,00,00,00
MGHZ1,19,21,E0,02,AE,03,10,08,7C,8E
MGHZ1,20,21,9A,03,1C,02,10,06,7C,8E
MGHZ1,21,21,D0,07,EE,01,10,0A,7C,8E
MGHZ1,22,21,00,0B,DE,01,10,16,7C,8E
MGHZ1,23,21,40,0B,8E,02,10,06,7C,8E
MGHZ1,24,24,C8,02,70,01,00,01,A0,A0
MGHZ1,25,24,D8,02,70,01,00,00,A0,A0
MGHZ1,26,24,48,09,70,01,00,01,A0,A0
MGHZ1,27,24,58,09,70,01,00,00,A0,A0
MGHZ1,28,24,68,0B,70,01,00,01,A0,A0
MGHZ1,29,24,78,0B,70,01,00,00,A0,A0
MGHZ1,30,24,08,0D,30,01,00,01,A0,A0
MGHZ1,31,24,18,0D,30,01,00,00,A0,A0
MGHZ1,32,2E,48,06,0C,04,00,00,72,13
MGHZ1,33,18,80,10,6E,02,00,00,00,00
MGHZ1,34,FF,2F,B0,0F,EE,02,00,00,AC
MGHZ2,0,2F,B0,0F,EE,02,00,00,AC,AC
MGHZ2,1,2F,20,0B,AE,01,00,00,AC,AC
MGHZ2,2,28,30,02,F0,02,00,0A,6A,0A
MGHZ2,3,28,88,03,D0,02,00,0A,6A,12
MGHZ2,4,28,50,04,60,03,00,83,6A,6A
MGHZ2,5,28,30,05,60,03,00,83,6A,6A
MGHZ2,6,28,F0,05,60,03,00,83,6A,6A
MGHZ2,7,28,70,06,60,03,00,83,6A,6A
MGHZ2,8,28,F0,0C,E0,03,00,83,6A,6A
MGHZ2,9,28,F0,0D,20,04,00,83,6A,6A
MGHZ2,10,28,D0,0F,20,04,00,83,6A,6A
MGHZ2,11,28,D0,0B,70,03,00,05,6A,19
MGHZ2,12,28,D0,0C,30,03,00,05,6A,14
MGHZ2,13,28,10,10,00,04,00,05,6A,10
MGHZ2,14,09,58,0A,90,02,00,00,00,00
MGHZ2,15,09,70,0A,AC,02,00,00,00,00
MGHZ2,16,09,78,0A,D8,02,00,00,00,00
MGHZ2,17,09,48,0A,5C,03,00,00,00,00
MGHZ2,18,09,50,0A,88,03,00,00,00,00
MGHZ2,19,09,6C,0A,A0,03,00,00,00,00
MGHZ2,20,10,70,0B,4E,02,00,01,00,00
MGHZ2,21,10,20,08,CE,01,00,06,00,00
MGHZ2,22,10,30,01,6E,04,00,04,00,00
MGHZ2,23,10,60,0E,8E,01,00,02,00,00
MGHZ2,24,1B,F0,05,80,04,00,00,00,00
MGHZ2,25,1B,30,07,60,03,00,00,00,00
MGHZ2,26,1B,30,0D,E0,03,00,00,00,00
MGHZ2,27,1B,C0,0D,00,04,00,00,00,00
MGHZ2,28,21,10,05,4E,03,10,04,7C,8E
MGHZ2,29,21,D0,05,4E,03,10,04,7C,8E
MGHZ2,30,21,50,07,4E,04,10,01,7C,8E
MGHZ2,31,21,90,0C,CE,03,10,03,7C,8E
MGHZ2,32,21,50,0E,0E,03,10,02,7C,8E
MGHZ2,33,21,F0,0E,0E,03,10,04,7C,8E
MGHZ2,34,21,10,0F,0E,04,10,04,7C,8E
MGHZ2,35,21,80,06,4E,04,10,01,7C,8E
MGHZ2,36,21,90,09,6E,04,10,01,7C,8E
MGHZ2,37,24,28,04,30,01,00,01,A0,A0
MGHZ2,38,24,38,04,30,01,00,00,A0,A0
MGHZ2,39,24,48,0C,70,01,00,01,A0,A0
MGHZ2,40,24,58,0C,70,01,00,00,A0,A0
MGHZ2,41,2E,E8,01,8C,04,00,00,72,1B
MGHZ2,42,18,80,10,0E,02,00,00,00,00
MGHZ2,43,FF,10,00,0B,2E,02,00,01,00
MGHZ3,0,10,00,0B,2E,02,00,01,00,00
MGHZ3,1,28,68,03,60,03,00,83,6A,6A
MGHZ3,2,28,D0,03,E0,02,00,83,6A,6A
MGHZ3,3,28,F0,03,A8,02,00,83,6A,6A
MGHZ3,4,28,10,04,70,02,00,83,6A,6A
MGHZ3,5,2F,40,08,4E,03,00,00,AC,AC
MGHZ3,6,28,80,07,30,03,00,86,6A,0F
MGHZ3,7,56,C5,0D,20,02,00,00,00,00
MGHZ3,8,FF,3F,50,09,E0,02,00,86,80
APZ1,0,3F,50,09,E0,02,00,86,80,32
APZ1,1,3F,50,0E,10,02,00,83,80,00
APZ1,2,10,70,03,CE,02,00,06,00,00
APZ1,3,10,90,05,2E,03,00,01,00,00
APZ1,4,10,90,14,8E,03,00,01,00,00
APZ1,5,10,70,12,EE,02,00,06,00,00
APZ1,6,10,40,01,AE,03,00,02,00,00
APZ1,7,10,30,03,22,04,00,03,00,00
APZ1,8,10,80,07,AE,02,00,04,00,00
APZ1,9,10,10,0E,AE,01,00,04,00,00
APZ1,10,30,90,14,A0,03,00,00,86,86
APZ1,11,3C,50,05,AE,03,00,00,6A,6A
APZ1,12,3C,D0,05,AE,03,00,00,6A,6A
APZ1,13,3C,B0,0A,8E,03,00,00,6A,6A
APZ1,14,3C,30,0B,8E,03,00,00,6A,6A
APZ1,15,3C,C0,0B,8E,03,00,00,6A,6A
APZ1,16,3C,10,12,8E,03,00,00,6A,6A
APZ1,17,3C,60,12,2E,03,00,01,6A,6A
APZ1,18,3C,B0,12,8E,03,00,00,6A,6A
APZ1,19,3D,20,03,8E,01,00,00,70,70
APZ1,20,3D,30,03,8E,01,00,04,70,70
APZ1,21,3D,40,03,8E,01,00,08,70,70
APZ1,22,3D,C0,05,2E,02,00,00,70,70
APZ1,23,3D,D0,05,2E,02,00,04,70,70
APZ1,24,3D,E0,05,2E,02,00,08,70,70
APZ1,25,3D,40,0C,4E,02,00,00,70,70
APZ1,26,3D,50,0C,4E,02,00,04,70,70
APZ1,27,3D,60,0C,4E,02,00,08,70,70
APZ1,28,0C,00,04,AE,03,00,00,8E,8E
APZ1,29,09,80,0F,40,02,00,00,00,00
APZ1,30,09,50,0F,80,02,00,00,00,00
APZ1,31,09,58,0F,58,02,00,00,00,00
APZ1,32,09,B0,0F,80,02,00,00,00,00
APZ1,33,09,A8,0F,58,02,00,00,00,00
APZ1,34,18,80,15,EE,02,00,00,00,00
APZ1,35,FF,0C,C0,0A,AE,04,00,00,8E
APZ2,0,0C,C0,0A,AE,04,00,00,8E,8E
APZ2,1,3F,30,09,9D,03,00,8B,80,00
APZ2,2,10,F0,02,AE,02,00,01,00,00
APZ2,3,10,80,01,0E,04,00,01,00,00
APZ2,4,10,50,0A,EE,02,00,02,00,00
APZ2,5,10,30,09,4E,04,00,01,00,00
APZ2,6,3C,40,05,2E,04,00,00,6A,6A
APZ2,7,3C,C0,05,2E,04,00,00,6A,6A
APZ2,8,3C,F0,02,CE,02,00,01,6A,6A
APZ2,9,3D,10,02,0E,04,00,00,70,70
APZ2,10,3D,A0,0B,6E,03,00,00,70,70
APZ2,11,3D,B0,0B,6E,03,00,04,70,70
APZ2,12,3D,C0,0B,6E,03,00,08,70,70
APZ2,13,3D,50,03,AE,01,00,00,70,70
APZ2,14,3D,60,03,AE,01,00,04,70,70
APZ2,15,3D,70,03,AE,01,00,08,70,70
APZ2,16,3D,80,05,AE,03,00,00,70,70
APZ2,17,3D,50,05,4E,03,00,00,70,70
APZ2,18,3D,60,05,4E,03,00,04,70,70
APZ2,19,09,C0,0D,E0,02,00,00,00,00
APZ2,20,09,90,0D,20,03,00,00,00,00
APZ2,21,09,98,0D,F8,02,00,00,00,00
APZ2,22,09,F0,0D,20,03,00,00,00,00
APZ2,23,09,E8,0D,F8,02,00,00,00,00
APZ2,24,09,A0,0E,E0,02,00,00,00,00
APZ2,25,09,70,0E,20,03,00,00,00,00
APZ2,26,09,78,0E,F8,02,00,00,00,00
APZ2,27,09,D0,0E,20,03,00,00,00,00
APZ2,28,09,C8,0E,F8,02,00,00,00,00
APZ2,29,18,80,10,6E,03,00,00,00,00
APZ2,30,FF,59,40,08,EE,01,00,00,00
APZ3,0,59,40,08,EE,01,00,00,00,00
APZ3,1,10,30,04,6E,02,00,06,00,00
APZ3,2,10,90,05,6E,01,00,01,00,00
APZ3,3,30,50,05,80,02,00,00,86,86
APZ3,4,FF,28,90,02,A0,02,00,83,6A
EEZ1,0,28,90,02,A0,02,00,83,6A,00
EEZ1,1,28,90,02,C0,01,00,83,6A,00
EEZ1,2,28,70,09,20,04,00,83,6A,00
EEZ1,3,28,B0,0C,30,04,00,8B,6A,00
EEZ1,4,10,F0,0E,AE,04,00,01,00,00
EEZ1,5,10,10,05,AE,04,00,06,00,00
EEZ1,6,10,90,0B,EE,02,00,06,00,00
EEZ1,7,10,50,06,4E,02,00,03,00,00
EEZ1,8,2C,60,08,E0,03,00,00,94,94
EEZ1,9,36,B0,02,3A,04,00,12,7C,7C
EEZ1,10,36,90,03,3A,01,00,0C,7C,7C
EEZ1,11,36,B0,04,3A,01,00,0C,7C,7C
EEZ1,12,36,F0,0A,9A,01,00,0C,7C,7C
EEZ1,13,38,80,0A,0E,04,00,00,72,72
EEZ1,14,38,80,0B,0E,04,00,00,72,72
